1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
6,62,52,35,107,74,55,54,46,46,37,75,11,1,6,4,15,28,20,2,22,1,6,1,4
9,63,53,36,135,131,56,65,50,49,38,83,13,40,8,15,16,29,133,9,23,8,7,2,10
10,65,60,43,136,135,58,110,51,56,65,123,15,41,9,16,17,46,135,13,24,13,8,3,16
20,66,61,44,137,136,60,111,120,57,88,321,16,42,14,28,19,49,276,15,29,14,13,4,24
63,79,91,45,139,137,61,127,326,313,104,322,17,43,23,29,20,50,304,16,32,15,21,5,32
94,83,92,67,141,306,62,132,,314,304,323,18,57,31,30,46,53,307,17,33,16,27,6,39
97,128,104,68,143,307,63,144,,317,316,,47,59,32,66,47,54,309,18,35,21,34,11,53
145,133,,131,146,311,66,46,,329,318,,49,60,33,67,49,57,321,19,37,28,41,18,54
302,134,,135,147,313,69,50,,,319,,65,66,34,97,50,59,331,20,50,33,45,27,56
335,135,,313,149,314,82,51,,,320,,57,114,35,111,67,75,346,23,57,41,47,30,57
,153,,337,158,315,90,120,,,321,,72,132,37,124,69,269,353,24,64,42,52,39,62
,307,,,159,,91,326,,,333,,73,293,41,127,214,290,354,25,65,43,54,49,69
,310,,,318,,93,,,,334,,116,294,49,130,296,292,355,26,66,50,63,51,70
,328,,,332,,95,,,,336,,125,295,50,131,312,293,356,27,67,59,66,54,122
,337,,,336,,,,,,,,289,302,51,136,313,294,357,28,68,123,94,59,145
,,,,343,,,,,,,,293,303,82,157,315,295,358,29,69,292,104,60,307
,,,,345,,,,,,,,300,307,313,309,319,302,360,30,70,310,105,63,309
,,,,346,,,,,,,,303,311,315,311,322,307,362,44,71,317,118,64,312
,,,,,,,,,,,,311,312,316,313,329,310,363,45,72,319,119,72,313
,,,,,,,,,,,,321,320,317,337,,331,,46,73,321,125,74,314
,,,,,,,,,,,,322,325,318,338,,,,47,74,323,126,81,
,,,,,,,,,,,,323,326,328,339,,,,48,122,324,132,88,
,,,,,,,,,,,,324,328,329,,,,,49,132,328,134,95,
,,,,,,,,,,,,325,329,332,,,,,50,292,330,135,98,
,,,,,,,,,,,,328,330,333,,,,,53,293,331,141,133,
,,,,,,,,,,,,329,331,339,,,,,55,296,332,263,135,
,,,,,,,,,,,,330,335,340,,,,,56,299,333,306,143,
,,,,,,,,,,,,331,338,341,,,,,66,310,334,307,282,
,,,,,,,,,,,,334,357,343,,,,,67,316,338,308,283,
,,,,,,,,,,,,358,,345,,,,,118,324,339,309,286,
,,,,,,,,,,,,359,,346,,,,,125,332,343,321,296,
,,,,,,,,,,,,,,356,,,,,281,344,350,326,301,
,,,,,,,,,,,,,,,,,,,307,351,356,327,306,
,,,,,,,,,,,,,,,,,,,313,,357,330,307,
,,,,,,,,,,,,,,,,,,,314,,358,331,308,
,,,,,,,,,,,,,,,,,,,320,,359,332,314,
,,,,,,,,,,,,,,,,,,,321,,364,335,318,
,,,,,,,,,,,,,,,,,,,326,,,337,319,
,,,,,,,,,,,,,,,,,,,328,,,341,326,
,,,,,,,,,,,,,,,,,,,329,,,349,327,
,,,,,,,,,,,,,,,,,,,340,,,355,333,
,,,,,,,,,,,,,,,,,,,341,,,,334,
,,,,,,,,,,,,,,,,,,,343,,,,336,
,,,,,,,,,,,,,,,,,,,345,,,,341,
,,,,,,,,,,,,,,,,,,,,,,,342,
,,,,,,,,,,,,,,,,,,,,,,,343,
,,,,,,,,,,,,,,,,,,,,,,,344,
,,,,,,,,,,,,,,,,,,,,,,,345,
,,,,,,,,,,,,,,,,,,,,,,,346,
,,,,,,,,,,,,,,,,,,,,,,,347,
,,,,,,,,,,,,,,,,,,,,,,,356,
,,,,,,,,,,,,,,,,,,,,,,,363,
,,,,,,,,,,,,,,,,,,,,,,,364,
